from,to,substance,quantity
ID281,ID282,EFM 1,61.40486691616215
ID282,ID320,EFM 1,61.40486691616215
ID320,ID137,EFM 1,61.40486691616215
ID137,ID136,EFM 1,61.40486691616215
ID136,ID319,EFM 1,61.40486691616215
ID319,ID281,EFM 1,61.40486691616215
ID281,ID282,EFM 2,53.03661906429575
ID282,ID320,EFM 2,53.03661906429575
ID320,ID154,EFM 2,53.03661906429575
ID154,ID153,EFM 2,53.03661906429575
ID153,ID319,EFM 2,53.03661906429575
ID319,ID281,EFM 2,53.03661906429575
ID214,ID215,EFM 3,47.15961275393425
ID215,ID125,EFM 3,47.15961275393425
ID125,ID124,EFM 3,47.15961275393425
ID124,ID214,EFM 3,47.15961275393425
ID281,ID282,EFM 4,23.516394125166332
ID282,ID281,EFM 4,23.516394125166332
ID219,ID217,EFM 5,18.020556008364302
ID217,ID218,EFM 5,18.020556008364302
ID218,ID215,EFM 5,18.020556008364302
ID215,ID125,EFM 5,18.020556008364302
ID125,ID390,EFM 5,18.020556008364302
ID390,ID389,EFM 5,18.020556008364302
ID389,ID200,EFM 5,18.020556008364302
ID200,ID282,EFM 5,18.020556008364302
ID282,ID320,EFM 5,18.020556008364302
ID320,ID154,EFM 5,18.020556008364302
ID154,ID153,EFM 5,18.020556008364302
ID153,ID262,EFM 5,18.020556008364302
ID262,ID156,EFM 5,18.020556008364302
ID156,ID158,EFM 5,18.020556008364302
ID158,ID0,EFM 5,18.020556008364302
