ID,label,label_pos,x,y,dir
ID281,malate[c],left,0,0,right
ID282,malate[m],left,0,0,right
ID320,OAA[m],left,0,0,right
ID137,aspartate[m],left,0,0,right
ID136,aspartate[c],left,0,0,right
ID319,OAA[c],left,0,0,right
ID154,citrate[m],left,0,0,right
ID153,citrate[c],left,0,0,right
ID214,glutamate[c],left,0,0,right
ID215,glutamate[m],left,0,0,right
ID125,AKG[m],left,0,0,right
ID124,AKG[c],left,0,0,right
ID219,glutamine[s],left,0,0,right
ID217,glutamine[c],left,0,0,right
ID218,glutamine[m],left,0,0,right
ID390,succinyl-CoA[m],left,0,0,right
ID389,succinate[m],left,0,0,right
ID200,fumarate[m],left,0,0,right
ID262,isocitrate[c],left,0,0,right
ID156,CO2[c],left,0,0,right
ID158,CO2[s],left,0,0,right
0,Sink,left,0,0,right
